,Kod stacji,Nazwa stacji,Rok,Miesiąc,Absolutna temperatura maksymalna (C),Średnia temperatura maksymalna (C),Absolutna temperatura minimalna,Średnia temperatura minimalna,Średnia temperatura miesięczna,Minimalna temperatura przy gruncie,Miesieczna suma opadów (mm),Maksymalna dobowa suma opadów,Pierwszy dzień wystapienia opadu maksymalnego,Ostatni dzień wystąpienia opadu maksymalnego,Maksymalna wysokość pokrywy śnieżnej (cm),Liczba dni z pokrywą śnieżną,Liczba dni z opadem deszczu,Liczba dni z opadem śniegu,Data,Województwo
60,249220040,DYNÓW,1951,1,9.9,1.0,-25.5,-4.8,-1.6,,31.2,9.0,21.0,,23.0,12,2,6,1951-01-01,Podkarpackie
2243,254200080,LIDZBARK WARMIÑSKI,1951,1,5.8,-1.0,-22.5,-6.6,-3.4,-22.6,38.0,7.0,7.0,,8.0,23,12,3,1951-01-01,Warmińsko-Mazurskie
1073,252200150,WARSZAWA-BIELANY,1951,1,7.8,0.4,-16.4,-4.1,-1.7,,35.5,14.2,19.0,,2.0,12,4,6,1951-01-01,Mazowieckie
235,250190390,KRAKÓW-OBSERWATORIUM,1951,1,9.3,2.1,-13.0,-3.4,-0.5,,29.8,9.3,18.0,,5.0,18,6,8,1951-01-01,Małopolskie
475,251190050,PUCZNIEW,1951,1,8.1,1.4,-13.1,-3.9,-1.1,,25.3,3.7,20.0,,4.0,15,6,7,1951-01-01,Łódzkie
535,251200030,SKIERNIEWICE,1951,1,7.1,0.8,-13.1,-4.0,-1.4,-15.1,22.4,4.2,19.0,,2.0,2,7,7,1951-01-01,Łódzkie
1193,252210050,PU£TUSK,1951,1,6.3,0.0,-18.0,-5.2,-2.1,,33.5,9.1,18.0,,10.0,16,6,11,1951-01-01,Mazowieckie
715,252160230,WIELICHOWO,1951,1,9.4,2.0,-14.9,-3.4,-0.2,-17.2,27.5,5.1,18.0,,0.0,0,9,5,1951-01-01,Wielkopolskie
595,251210120,PU£AWY,1951,1,9.5,0.5,-18.6,-4.4,-1.9,-22.8,21.0,4.7,18.0,,8.0,15,8,9,1951-01-01,Lubelskie
894,252180080,KO£UDA WIELKA,1951,1,7.5,1.2,-14.5,-4.0,-1.2,-16.0,27.5,3.8,19.0,,5.0,7,5,9,1951-01-01,Kujawsko-Pomorskie
1313,252220030,SZEPIETOWO,1951,1,5.2,-1.2,-20.0,-6.3,-3.6,-22.6,24.1,3.6,7.0,15.0,0.0,0,1,11,1951-01-01,Podlaskie
1014,252200120,LEGIONOWO,1951,2,,,,,,,,,,,,0,0,0,1951-02-01,Mazowieckie
1194,252210050,PU£TUSK,1951,2,7.8,1.4,-13.5,-3.5,-1.0,,29.8,9.6,25.0,,4.0,18,1,9,1951-02-01,Mazowieckie
476,251190050,PUCZNIEW,1951,2,9.4,3.5,-12.8,-2.3,0.4,,22.9,6.3,25.0,,5.0,12,4,10,1951-02-01,Łódzkie
895,252180080,KO£UDA WIELKA,1951,2,7.8,2.8,-11.3,-2.1,0.0,-13.5,32.5,6.0,17.0,,6.0,5,3,9,1951-02-01,Kujawsko-Pomorskie
1074,252200150,WARSZAWA-BIELANY,1951,2,8.6,1.7,-12.8,-2.8,-0.6,,31.7,8.6,25.0,,2.0,13,1,10,1951-02-01,Mazowieckie
61,249220040,DYNÓW,1951,2,11.9,4.3,-18.0,-3.6,0.8,,33.9,10.2,26.0,,9.0,8,5,7,1951-02-01,Podkarpackie
2244,254200080,LIDZBARK WARMIÑSKI,1951,2,4.8,0.5,-15.8,-4.3,-1.8,-16.1,20.4,9.0,27.0,,20.0,11,7,1,1951-02-01,Warmińsko-Mazurskie
716,252160230,WIELICHOWO,1951,2,10.9,3.9,-9.9,-1.8,1.0,-11.0,32.1,8.8,14.0,,7.0,4,9,6,1951-02-01,Wielkopolskie
236,250190390,KRAKÓW-OBSERWATORIUM,1951,2,13.4,4.4,-10.5,-1.3,1.3,,26.3,16.3,26.0,,6.0,7,2,6,1951-02-01,Małopolskie
1314,252220030,SZEPIETOWO,1951,2,6.5,0.7,-15.5,-4.7,-2.1,-19.6,25.6,10.8,25.0,,0.0,0,1,8,1951-02-01,Podlaskie
596,251210120,PU£AWY,1951,2,9.1,2.2,-13.7,-2.9,-0.5,-18.3,21.2,6.4,26.0,,4.0,12,2,8,1951-02-01,Lubelskie
536,251200030,SKIERNIEWICE,1951,2,10.3,2.5,-12.4,-3.1,-0.4,-15.3,33.8,10.1,25.0,,7.0,4,1,9,1951-02-01,Łódzkie
1075,252200150,WARSZAWA-BIELANY,1951,3,15.3,3.7,-12.2,-2.9,0.5,,26.3,6.4,23.0,,8.0,12,3,7,1951-03-01,Mazowieckie
537,251200030,SKIERNIEWICE,1951,3,16.3,4.3,-12.1,-3.5,0.3,-17.1,22.4,9.5,23.0,,14.0,12,4,7,1951-03-01,Łódzkie
62,249220040,DYNÓW,1951,3,14.9,5.3,-8.4,-1.0,2.3,,63.2,18.5,19.0,,10.0,3,9,7,1951-03-01,Podkarpackie
1195,252210050,PU£TUSK,1951,3,14.2,3.7,-12.3,-3.1,0.2,,39.5,21.0,23.0,,5.0,15,3,9,1951-03-01,Mazowieckie
717,252160230,WIELICHOWO,1951,3,14.4,4.6,-12.4,-2.6,1.2,-13.7,34.1,10.7,23.0,,0.0,0,6,5,1951-03-01,Wielkopolskie
896,252180080,KO£UDA WIELKA,1951,3,14.8,4.1,-14.0,-3.4,0.3,-15.5,22.0,12.6,23.0,,7.0,12,6,2,1951-03-01,Kujawsko-Pomorskie
2245,254200080,LIDZBARK WARMIÑSKI,1951,3,8.5,2.1,-17.9,-4.8,-1.2,-17.1,62.6,24.5,23.0,,16.0,16,5,10,1951-03-01,Warmińsko-Mazurskie
237,250190390,KRAKÓW-OBSERWATORIUM,1951,3,19.4,5.8,-5.8,-0.4,2.5,,38.8,5.6,24.0,,12.0,12,10,9,1951-03-01,Małopolskie
1315,252220030,SZEPIETOWO,1951,3,11.7,2.5,-14.0,-3.9,-0.8,-15.8,36.2,17.8,23.0,,0.0,0,6,4,1951-03-01,Podlaskie
477,251190050,PUCZNIEW,1951,3,16.4,4.5,-12.1,-3.1,0.8,,26.9,12.4,23.0,,6.0,13,4,5,1951-03-01,Łódzkie
597,251210120,PU£AWY,1951,3,17.9,4.7,-8.4,-1.5,1.3,-10.0,43.7,9.0,23.0,,11.0,12,9,9,1951-03-01,Lubelskie
1015,252200120,LEGIONOWO,1951,3,15.2,3.9,-12.6,-3.3,0.3,,30.2,10.7,23.0,,10.0,14,4,8,1951-03-01,Mazowieckie
1076,252200150,WARSZAWA-BIELANY,1951,4,23.5,14.6,-0.8,4.2,9.3,,42.8,22.5,1.0,,0.0,0,6,0,1951-04-01,Mazowieckie
718,252160230,WIELICHOWO,1951,4,25.8,14.0,-4.4,1.6,8.0,-8.9,12.4,5.8,21.0,,0.0,0,12,0,1951-04-01,Wielkopolskie
478,251190050,PUCZNIEW,1951,4,23.4,14.2,-5.6,1.7,7.9,,31.2,9.2,8.0,,0.0,0,8,0,1951-04-01,Łódzkie
2246,254200080,LIDZBARK WARMIÑSKI,1951,4,23.8,13.2,-4.1,2.4,7.7,-5.1,46.3,11.5,1.0,,0.0,0,10,0,1951-04-01,Warmińsko-Mazurskie
1196,252210050,PU£TUSK,1951,4,24.9,14.7,-1.4,3.0,8.6,,34.1,13.1,1.0,,0.0,0,8,0,1951-04-01,Mazowieckie
1016,252200120,LEGIONOWO,1951,4,24.1,14.9,-1.3,3.1,9.0,,17.4,5.5,1.0,,0.0,0,4,0,1951-04-01,Mazowieckie
1316,252220030,SZEPIETOWO,1951,4,23.7,13.6,-1.3,2.5,8.2,-4.2,41.5,24.5,1.0,,0.0,0,8,1,1951-04-01,Podlaskie
63,249220040,DYNÓW,1951,4,22.8,14.6,-2.3,2.1,8.7,,39.2,12.5,30.0,,0.0,0,10,0,1951-04-01,Podkarpackie
897,252180080,KO£UDA WIELKA,1951,4,26.3,15.0,-2.4,2.5,8.3,-6.3,15.5,8.8,30.0,,0.0,0,5,0,1951-04-01,Kujawsko-Pomorskie
238,250190390,KRAKÓW-OBSERWATORIUM,1951,4,23.8,15.2,0.6,4.7,9.7,,61.0,27.7,1.0,,0.0,0,12,0,1951-04-01,Małopolskie
598,251210120,PU£AWY,1951,4,23.4,15.0,-1.0,4.3,9.4,-6.6,38.4,12.4,2.0,,0.0,0,7,1,1951-04-01,Lubelskie
538,251200030,SKIERNIEWICE,1951,4,23.9,14.7,-2.9,2.6,8.5,-8.9,46.5,26.6,1.0,,0.0,0,6,1,1951-04-01,Łódzkie
2247,254200080,LIDZBARK WARMIÑSKI,1951,5,22.1,15.9,-2.0,3.7,9.9,-2.6,7.3,4.2,9.0,,0.0,0,5,0,1951-05-01,Warmińsko-Mazurskie
599,251210120,PU£AWY,1951,5,25.9,17.3,1.3,8.3,12.6,-3.6,86.2,17.0,10.0,,0.0,0,14,0,1951-05-01,Lubelskie
719,252160230,WIELICHOWO,1951,5,21.7,16.6,0.9,6.6,11.8,-1.0,64.7,22.8,20.0,,0.0,0,12,0,1951-05-01,Wielkopolskie
1077,252200150,WARSZAWA-BIELANY,1951,5,24.6,17.2,1.4,8.0,12.4,,41.2,12.5,6.0,,0.0,0,11,0,1951-05-01,Mazowieckie
479,251190050,PUCZNIEW,1951,5,22.7,16.3,-1.2,6.7,11.6,,62.5,17.2,5.0,,0.0,0,11,0,1951-05-01,Łódzkie
898,252180080,KO£UDA WIELKA,1951,5,24.3,17.3,0.0,6.4,11.8,-3.8,15.7,6.2,20.0,,0.0,0,10,0,1951-05-01,Kujawsko-Pomorskie
64,249220040,DYNÓW,1951,5,25.9,17.2,0.1,6.7,12.1,,105.4,33.3,10.0,,0.0,0,16,0,1951-05-01,Podkarpackie
1197,252210050,PU£TUSK,1951,5,22.6,17.4,0.2,6.8,12.3,,45.1,23.9,21.0,,0.0,0,8,0,1951-05-01,Mazowieckie
1017,252200120,LEGIONOWO,1951,5,22.6,17.1,1.1,7.3,12.4,,35.5,10.2,9.0,,0.0,0,12,0,1951-05-01,Mazowieckie
1317,252220030,SZEPIETOWO,1951,5,22.5,16.4,0.4,5.9,11.2,-2.3,50.7,18.9,6.0,,0.0,0,10,0,1951-05-01,Podlaskie
239,250190390,KRAKÓW-OBSERWATORIUM,1951,5,25.0,17.6,5.0,9.6,13.3,,132.9,24.2,10.0,,0.0,0,19,0,1951-05-01,Małopolskie
539,251200030,SKIERNIEWICE,1951,5,23.6,16.9,0.7,7.2,12.0,-3.9,104.6,27.4,5.0,,0.0,0,15,0,1951-05-01,Łódzkie
540,251200030,SKIERNIEWICE,1951,6,31.5,23.6,2.7,11.5,17.5,-1.5,42.5,19.2,24.0,,0.0,0,8,0,1951-06-01,Łódzkie
720,252160230,WIELICHOWO,1951,6,29.6,23.1,2.7,10.6,17.5,0.3,33.9,18.7,25.0,,0.0,0,13,0,1951-06-01,Wielkopolskie
65,249220040,DYNÓW,1951,6,30.4,22.9,-0.4,10.2,16.8,,65.7,19.0,26.0,,0.0,0,11,0,1951-06-01,Podkarpackie
1198,252210050,PU£TUSK,1951,6,32.1,23.6,2.2,11.2,17.3,,18.6,8.5,18.0,,0.0,0,7,0,1951-06-01,Mazowieckie
1318,252220030,SZEPIETOWO,1951,6,31.4,22.8,0.8,9.8,17.0,-1.4,31.3,13.5,27.0,,0.0,0,6,0,1951-06-01,Podlaskie
899,252180080,KO£UDA WIELKA,1951,6,32.2,24.2,2.0,11.2,18.0,-1.5,30.0,13.0,25.0,,0.0,0,5,0,1951-06-01,Kujawsko-Pomorskie
600,251210120,PU£AWY,1951,6,31.4,23.5,4.2,11.9,18.0,-1.5,59.9,12.7,24.0,,0.0,0,9,0,1951-06-01,Lubelskie
1018,252200120,LEGIONOWO,1951,6,32.6,24.0,2.5,11.4,18.3,,20.7,5.4,10.0,,0.0,0,10,0,1951-06-01,Mazowieckie
480,251190050,PUCZNIEW,1951,6,29.0,22.9,1.6,10.0,16.9,,25.6,9.0,24.0,,0.0,0,10,0,1951-06-01,Łódzkie
240,250190390,KRAKÓW-OBSERWATORIUM,1951,6,31.5,23.0,5.3,13.2,18.0,,71.5,18.1,24.0,,0.0,0,17,0,1951-06-01,Małopolskie
1078,252200150,WARSZAWA-BIELANY,1951,6,31.4,23.8,3.8,12.6,18.5,,27.6,7.8,10.0,,0.0,0,11,0,1951-06-01,Mazowieckie
2248,254200080,LIDZBARK WARMIÑSKI,1951,6,30.0,22.4,-1.0,8.8,16.3,-1.4,49.0,16.0,25.0,,0.0,0,12,0,1951-06-01,Warmińsko-Mazurskie
481,251190050,PUCZNIEW,1951,7,32.3,23.0,5.0,12.0,17.8,,98.7,37.7,12.0,,0.0,0,14,0,1951-07-01,Łódzkie
1019,252200120,LEGIONOWO,1951,7,33.8,24.0,7.6,13.4,19.0,,64.5,19.6,20.0,,0.0,0,14,0,1951-07-01,Mazowieckie
1319,252220030,SZEPIETOWO,1951,7,31.7,22.9,6.3,11.3,17.7,3.3,51.4,14.5,26.0,,0.0,0,12,0,1951-07-01,Podlaskie
721,252160230,WIELICHOWO,1951,7,30.2,23.2,6.8,12.4,18.3,5.5,48.4,12.7,14.0,,0.0,0,13,0,1951-07-01,Wielkopolskie
66,249220040,DYNÓW,1951,7,31.8,23.9,4.6,11.1,18.0,,28.0,10.0,13.0,,0.0,0,8,0,1951-07-01,Podkarpackie
601,251210120,PU£AWY,1951,7,33.1,23.6,7.0,13.4,18.6,2.4,72.0,22.3,13.0,,0.0,0,13,0,1951-07-01,Lubelskie
2249,254200080,LIDZBARK WARMIÑSKI,1951,7,33.5,22.5,5.5,11.2,17.0,4.4,63.2,14.4,19.0,,0.0,0,16,0,1951-07-01,Warmińsko-Mazurskie
1079,252200150,WARSZAWA-BIELANY,1951,7,33.9,24.2,7.8,14.1,19.0,,61.2,24.2,25.0,,0.0,0,14,0,1951-07-01,Mazowieckie
1199,252210050,PU£TUSK,1951,7,33.8,24.5,6.1,12.6,18.3,,41.3,6.0,25.0,,0.0,0,12,0,1951-07-01,Mazowieckie
241,250190390,KRAKÓW-OBSERWATORIUM,1951,7,30.3,24.1,8.4,14.5,19.2,,66.2,23.3,24.0,,0.0,0,12,0,1951-07-01,Małopolskie
900,252180080,KO£UDA WIELKA,1951,7,32.2,23.7,6.5,13.1,18.6,4.9,93.7,34.4,25.0,,0.0,0,10,0,1951-07-01,Kujawsko-Pomorskie
541,251200030,SKIERNIEWICE,1951,7,33.7,23.7,7.2,13.2,18.3,2.8,43.5,13.3,20.0,,0.0,0,11,0,1951-07-01,Łódzkie
1320,252220030,SZEPIETOWO,1951,8,31.9,26.3,8.6,12.9,19.5,5.2,23.0,10.9,7.0,,0.0,0,6,0,1951-08-01,Podlaskie
722,252160230,WIELICHOWO,1951,8,29.6,24.6,6.1,12.5,18.9,4.7,85.0,27.4,22.0,,0.0,0,10,0,1951-08-01,Wielkopolskie
67,249220040,DYNÓW,1951,8,32.0,25.9,6.0,11.9,18.9,,51.0,25.0,11.0,,0.0,0,8,0,1951-08-01,Podkarpackie
1080,252200150,WARSZAWA-BIELANY,1951,8,31.6,26.4,10.1,15.3,20.7,,46.2,14.4,6.0,,0.0,0,5,0,1951-08-01,Mazowieckie
542,251200030,SKIERNIEWICE,1951,8,32.0,26.7,7.9,13.8,19.9,3.8,48.5,20.7,6.0,,0.0,0,9,0,1951-08-01,Łódzkie
242,250190390,KRAKÓW-OBSERWATORIUM,1951,8,32.1,25.7,10.6,15.3,20.4,,63.4,14.1,23.0,,0.0,0,12,0,1951-08-01,Małopolskie
1200,252210050,PU£TUSK,1951,8,32.2,27.0,8.7,13.7,20.2,,37.0,21.1,9.0,,0.0,0,5,0,1951-08-01,Mazowieckie
2250,254200080,LIDZBARK WARMIÑSKI,1951,8,32.0,25.9,6.2,13.0,19.9,5.4,47.4,19.8,5.0,,0.0,0,6,0,1951-08-01,Warmińsko-Mazurskie
602,251210120,PU£AWY,1951,8,32.9,26.7,9.5,13.8,20.4,3.9,3.2,2.1,27.0,,0.0,0,3,0,1951-08-01,Lubelskie
482,251190050,PUCZNIEW,1951,8,30.1,25.2,5.3,12.7,18.9,,113.5,43.9,5.0,,0.0,0,9,0,1951-08-01,Łódzkie
901,252180080,KO£UDA WIELKA,1951,8,31.8,25.6,9.5,14.0,19.5,5.2,29.2,11.1,14.0,,0.0,0,9,0,1951-08-01,Kujawsko-Pomorskie
1020,252200120,LEGIONOWO,1951,8,31.8,26.3,9.5,13.9,20.4,,32.6,11.7,5.0,,0.0,0,6,0,1951-08-01,Mazowieckie
1021,252200120,LEGIONOWO,1951,9,31.3,21.9,2.0,9.6,15.4,,3.5,3.0,27.0,,0.0,0,2,0,1951-09-01,Mazowieckie
68,249220040,DYNÓW,1951,9,30.3,21.0,-1.0,9.1,14.8,,58.6,18.0,28.0,,0.0,0,14,0,1951-09-01,Podkarpackie
902,252180080,KO£UDA WIELKA,1951,9,32.1,22.0,4.1,9.5,15.1,-1.9,2.3,1.0,4.0,,0.0,0,6,0,1951-09-01,Kujawsko-Pomorskie
543,251200030,SKIERNIEWICE,1951,9,31.6,22.2,2.0,9.5,15.4,-3.3,2.0,1.5,19.0,,0.0,0,2,0,1951-09-01,Łódzkie
1081,252200150,WARSZAWA-BIELANY,1951,9,32.0,22.2,2.2,10.6,15.9,,3.1,1.2,19.0,,0.0,0,4,0,1951-09-01,Mazowieckie
243,250190390,KRAKÓW-OBSERWATORIUM,1951,9,29.0,20.8,4.2,12.3,16.2,,42.1,16.9,28.0,,0.0,0,11,0,1951-09-01,Małopolskie
2251,254200080,LIDZBARK WARMIÑSKI,1951,9,30.5,20.6,3.0,9.0,14.5,1.9,40.0,21.1,20.0,,0.0,0,9,0,1951-09-01,Warmińsko-Mazurskie
723,252160230,WIELICHOWO,1951,9,31.0,20.6,-0.1,8.1,14.3,-2.3,8.5,3.9,24.0,,0.0,0,4,0,1951-09-01,Wielkopolskie
1201,252210050,PU£TUSK,1951,9,32.3,22.2,0.4,8.6,15.1,,9.1,7.5,27.0,,0.0,0,3,0,1951-09-01,Mazowieckie
603,251210120,PU£AWY,1951,9,31.9,21.9,2.2,10.2,15.6,-4.1,1.6,0.4,19.0,,0.0,0,7,0,1951-09-01,Lubelskie
483,251190050,PUCZNIEW,1951,9,30.5,21.2,1.1,8.9,14.7,,1.2,0.9,24.0,,0.0,0,4,0,1951-09-01,Łódzkie
1321,252220030,SZEPIETOWO,1951,9,30.9,21.0,0.0,8.5,14.3,-1.9,7.7,5.0,8.0,,0.0,0,5,0,1951-09-01,Podlaskie
244,250190390,KRAKÓW-OBSERWATORIUM,1951,10,16.9,11.8,-2.4,2.3,6.7,,0.0,0.0,,,0.0,0,0,0,1951-10-01,Małopolskie
1202,252210050,PU£TUSK,1951,10,16.6,12.3,-5.4,-0.1,6.0,,0.0,0.0,,,0.0,0,0,0,1951-10-01,Mazowieckie
1022,252200120,LEGIONOWO,1951,10,16.5,12.1,-4.1,0.6,5.9,,0.3,0.3,21.0,,0.0,0,1,0,1951-10-01,Mazowieckie
604,251210120,PU£AWY,1951,10,18.4,12.4,-3.4,1.0,6.0,-10.5,1.0,0.4,5.0,9.0,0.0,0,3,0,1951-10-01,Lubelskie
69,249220040,DYNÓW,1951,10,17.5,11.4,-8.3,-0.5,5.2,,5.6,4.1,3.0,,0.0,0,4,0,1951-10-01,Podkarpackie
903,252180080,KO£UDA WIELKA,1951,10,18.9,13.9,-3.5,0.3,6.5,-8.9,5.4,5.3,25.0,,0.0,0,2,0,1951-10-01,Kujawsko-Pomorskie
484,251190050,PUCZNIEW,1951,10,18.4,13.7,-4.7,-0.2,6.1,,1.1,1.0,23.0,,0.0,0,2,0,1951-10-01,Łódzkie
544,251200030,SKIERNIEWICE,1951,10,16.6,13.3,-5.3,-0.7,6.3,-9.6,1.6,1.4,24.0,,0.0,0,2,0,1951-10-01,Łódzkie
1082,252200150,WARSZAWA-BIELANY,1951,10,16.3,11.8,-3.0,1.5,6.6,,0.2,0.2,21.0,,0.0,0,1,0,1951-10-01,Mazowieckie
2252,254200080,LIDZBARK WARMIÑSKI,1951,10,16.6,11.7,-4.0,0.5,5.6,-5.1,3.5,2.5,4.0,,0.0,0,2,0,1951-10-01,Warmińsko-Mazurskie
724,252160230,WIELICHOWO,1951,10,18.5,13.7,-4.8,0.2,6.6,-7.5,0.7,0.5,23.0,,0.0,0,2,0,1951-10-01,Wielkopolskie
1322,252220030,SZEPIETOWO,1951,10,16.8,10.9,-5.1,0.1,4.8,-8.7,0.2,0.2,21.0,,0.0,0,1,0,1951-10-01,Podlaskie
1323,252220030,SZEPIETOWO,1951,11,12.8,7.2,-2.2,1.1,4.3,-4.6,20.2,9.6,12.0,,0.0,0,8,1,1951-11-01,Podlaskie
1023,252200120,LEGIONOWO,1951,11,13.4,8.8,-4.6,2.5,5.6,,14.1,5.7,12.0,,0.0,0,12,1,1951-11-01,Mazowieckie
485,251190050,PUCZNIEW,1951,11,15.7,9.8,0.6,3.3,6.7,,37.2,7.0,25.0,,0.0,0,15,1,1951-11-01,Łódzkie
70,249220040,DYNÓW,1951,11,17.6,10.1,-3.9,2.1,7.0,,31.5,11.7,30.0,,0.0,0,7,0,1951-11-01,Podkarpackie
605,251210120,PU£AWY,1951,11,15.1,9.8,-3.1,3.4,6.4,-9.1,31.4,13.0,25.0,,0.0,0,13,2,1951-11-01,Lubelskie
725,252160230,WIELICHOWO,1951,11,14.2,9.4,-1.0,3.1,6.7,-4.7,65.0,34.5,2.0,,0.0,0,17,0,1951-11-01,Wielkopolskie
2253,254200080,LIDZBARK WARMIÑSKI,1951,11,12.7,7.5,-4.6,1.7,4.6,-5.6,23.9,4.6,12.0,,0.0,0,15,0,1951-11-01,Warmińsko-Mazurskie
245,250190390,KRAKÓW-OBSERWATORIUM,1951,11,17.8,11.2,0.7,4.1,7.4,,38.7,7.6,23.0,,0.0,0,14,2,1951-11-01,Małopolskie
545,251200030,SKIERNIEWICE,1951,11,,,-4.3,1.3,6.3,-8.2,19.6,4.5,25.0,,0.0,0,16,0,1951-11-01,Łódzkie
1083,252200150,WARSZAWA-BIELANY,1951,11,14.0,8.8,-3.5,3.2,6.0,,16.7,2.5,12.0,,0.0,0,14,2,1951-11-01,Mazowieckie
904,252180080,KO£UDA WIELKA,1951,11,13.8,8.9,0.1,3.2,6.3,-3.6,30.7,7.5,12.0,,0.0,0,13,0,1951-11-01,Kujawsko-Pomorskie
1203,252210050,PU£TUSK,1951,11,13.5,8.5,-5.2,1.7,5.3,,19.0,4.7,12.0,,0.0,0,10,2,1951-11-01,Mazowieckie
1204,252210050,PU£TUSK,1951,12,8.8,4.2,-4.8,-0.5,2.0,,9.5,6.5,4.0,,0.0,0,4,4,1951-12-01,Mazowieckie
606,251210120,PU£AWY,1951,12,8.9,4.1,-5.5,-0.5,1.8,-10.7,24.0,8.8,4.0,,4.0,1,9,3,1951-12-01,Lubelskie
726,252160230,WIELICHOWO,1951,12,9.4,5.1,-6.8,-0.5,2.7,-9.6,9.5,7.6,4.0,,0.0,0,9,1,1951-12-01,Wielkopolskie
71,249220040,DYNÓW,1951,12,7.6,3.6,-15.4,-2.7,1.0,,50.2,23.0,13.0,,10.0,7,3,4,1951-12-01,Podkarpackie
1024,252200120,LEGIONOWO,1951,12,8.9,4.2,-5.1,-0.3,2.0,,6.4,1.8,28.0,,0.0,0,8,3,1951-12-01,Mazowieckie
1084,252200150,WARSZAWA-BIELANY,1951,12,8.7,3.9,-3.5,0.1,2.1,,12.3,3.5,4.0,,1.0,1,3,3,1951-12-01,Mazowieckie
905,252180080,KO£UDA WIELKA,1951,12,9.0,4.3,-4.0,0.2,2.5,-7.7,9.4,5.7,4.0,,0.0,0,4,1,1951-12-01,Kujawsko-Pomorskie
486,251190050,PUCZNIEW,1951,12,9.2,4.3,-5.0,-0.3,2.2,,20.4,13.3,4.0,,1.0,1,8,3,1951-12-01,Łódzkie
546,251200030,SKIERNIEWICE,1951,12,,,-5.9,-0.8,2.2,-7.9,14.7,6.3,4.0,,0.0,0,4,3,1951-12-01,Łódzkie
246,250190390,KRAKÓW-OBSERWATORIUM,1951,12,10.4,4.3,-4.9,-0.2,2.2,,18.8,5.4,4.0,,0.0,0,13,3,1951-12-01,Małopolskie
1324,252220030,SZEPIETOWO,1951,12,8.3,3.1,-6.2,-1.3,1.2,-8.1,9.5,2.9,13.0,,0.0,0,5,1,1951-12-01,Podlaskie
2254,254200080,LIDZBARK WARMIÑSKI,1951,12,9.3,4.3,-5.6,-0.3,2.2,,52.0,10.0,9.0,,3.0,4,17,0,1951-12-01,Warmińsko-Mazurskie
607,251210120,PU£AWY,1952,1,7.8,2.2,-10.6,-2.4,-0.2,-16.1,23.6,7.5,26.0,,12.0,11,5,11,1952-01-01,Lubelskie
1325,252220030,SZEPIETOWO,1952,1,5.7,1.2,-12.0,-3.8,-0.9,-14.6,30.8,8.9,27.0,,0.0,0,4,8,1952-01-01,Podlaskie
487,251190050,PUCZNIEW,1952,1,6.9,2.3,-10.3,-2.4,0.2,,37.1,5.4,19.0,,11.0,10,7,14,1952-01-01,Łódzkie
72,249220040,DYNÓW,1952,1,5.2,1.5,-18.5,-3.9,-1.0,,52.8,13.8,4.0,,20.0,20,3,9,1952-01-01,Podkarpackie
727,252160230,WIELICHOWO,1952,1,7.7,2.5,-10.1,-2.5,0.5,-14.4,37.3,16.5,20.0,,15.0,15,11,10,1952-01-01,Wielkopolskie
1025,252200120,LEGIONOWO,1952,1,6.6,2.1,-11.9,-2.6,-0.2,,26.6,6.4,20.0,,15.0,6,5,7,1952-01-01,Mazowieckie
906,252180080,KO£UDA WIELKA,1952,1,6.4,2.1,-11.0,-2.2,-0.1,-13.8,32.2,10.3,20.0,,5.0,6,7,9,1952-01-01,Kujawsko-Pomorskie
247,250190390,KRAKÓW-OBSERWATORIUM,1952,1,8.7,2.7,-12.6,-2.1,0.4,,58.0,9.9,19.0,,22.0,14,6,13,1952-01-01,Małopolskie
1205,252210050,PU£TUSK,1952,1,6.6,2.0,-11.2,-2.9,-0.3,,31.4,7.8,26.0,,8.0,5,5,9,1952-01-01,Mazowieckie
547,251200030,SKIERNIEWICE,1952,1,7.5,2.7,-9.7,-2.3,0.0,-10.6,32.3,7.5,19.0,,10.0,9,6,9,1952-01-01,Łódzkie
2255,254200080,LIDZBARK WARMIÑSKI,1952,1,6.8,1.9,-10.7,-3.0,-0.5,-14.1,48.3,16.9,28.0,,25.0,10,5,13,1952-01-01,Warmińsko-Mazurskie
1085,252200150,WARSZAWA-BIELANY,1952,1,6.3,2.1,-9.1,-1.9,0.0,,35.3,5.7,20.0,,17.0,7,5,10,1952-01-01,Mazowieckie
1326,252220030,SZEPIETOWO,1952,2,2.8,-0.9,-15.5,-6.4,-3.1,-21.1,31.5,7.0,15.0,,0.0,0,1,14,1952-02-01,Podlaskie
548,251200030,SKIERNIEWICE,1952,2,5.9,0.9,-15.8,-4.7,-1.7,-22.1,50.4,11.5,2.0,,29.0,24,2,14,1952-02-01,Łódzkie
1206,252210050,PU£TUSK,1952,2,4.2,0.0,-14.7,-6.2,-2.3,,45.1,10.0,2.0,,33.0,29,1,16,1952-02-01,Mazowieckie
1086,252200150,WARSZAWA-BIELANY,1952,2,4.0,-0.1,-9.8,-4.8,-2.0,,47.5,11.7,2.0,,35.0,28,3,20,1952-02-01,Mazowieckie
73,249220040,DYNÓW,1952,2,4.2,0.0,-17.5,-5.2,-2.3,,57.8,9.6,22.0,,56.0,29,2,13,1952-02-01,Podkarpackie
488,251190050,PUCZNIEW,1952,2,5.4,1.2,-12.5,-4.4,-1.1,,30.4,8.4,26.0,,12.0,25,3,19,1952-02-01,Łódzkie
